comparison_dimension,scheme,parameter_set,benchmark_kind,batch_size,baseline_sampler,candidate_sampler,baseline_implementation,candidate_implementation,baseline_median_cycles,candidate_median_cycles,speedup_percent,result
sda-vs-original-ref,Frodo,frodo1344,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,87.093000,146.845000,-68.607121,slower
sda-vs-original-ref,Frodo,frodo1344,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,39.104000,44.989000,-15.049611,slower
sda-vs-original-ref,Frodo,frodo640,end-to-end,1,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,104.964000,94.895000,9.592813,faster
sda-vs-original-ref,Frodo,frodo640,end-to-end,8,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,69.127000,78.912000,-14.155106,slower
sda-vs-original-ref,Frodo,frodo640,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,207.886000,89.294000,57.046651,faster
sda-vs-original-ref,Frodo,frodo640,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,44.888000,32.707000,27.136428,faster
sda-vs-original-ref,Frodo,frodo976,end-to-end,1,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,76.626000,89.920000,-17.349203,slower
sda-vs-original-ref,Frodo,frodo976,end-to-end,8,original-cdt,sda-cdt,original-cdt-ref,sda-cdt-ref,74.608000,75.674000,-1.428801,slower
sda-vs-original-ref,Frodo,frodo976,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,96.373000,113.392000,-17.659510,slower
sda-vs-original-ref,Frodo,frodo976,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-ref,sda-table-ref,73.823000,32.048000,56.588055,faster
sda-vs-original-avx2,Falcon,falcon,end-to-end,1,original-cdt,sda-cdt,original-cdt-avx2,sda-cdt-avx2,248.542000,147.817000,40.526350,faster
sda-vs-original-avx2,Falcon,falcon,end-to-end,8,original-cdt,sda-cdt,original-cdt-avx2,sda-cdt-avx2,141.848000,180.073000,-26.947860,slower
sda-vs-original-avx2,Falcon,falcon,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-avx2,sda-table-avx2,246.651000,120.371000,51.197846,faster
sda-vs-original-avx2,Falcon,falcon,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-avx2,sda-table-avx2,74.416000,77.232000,-3.784132,slower
sda-vs-original-avx2,Frodo,frodo1344,end-to-end,1,original-cdt,sda-cdt,original-cdt-avx2,sda-cdt-avx2,70.503000,124.377000,-76.413770,slower
sda-vs-original-avx2,Frodo,frodo1344,end-to-end,8,original-cdt,sda-cdt,original-cdt-avx2,sda-cdt-avx2,51.678000,50.401000,2.471071,faster
sda-vs-original-avx2,Frodo,frodo1344,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-avx2,sda-table-avx2,103.647000,174.794000,-68.643569,slower
sda-vs-original-avx2,Frodo,frodo1344,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-avx2,sda-table-avx2,28.178000,35.007000,-24.235219,slower
sda-vs-original-avx2,Frodo,frodo640,end-to-end,1,original-cdt,sda-cdt,original-cdt-avx2,sda-cdt-avx2,127.020000,100.194000,21.119509,faster
sda-vs-original-avx2,Frodo,frodo640,end-to-end,8,original-cdt,sda-cdt,original-cdt-avx2,sda-cdt-avx2,42.705000,77.363000,-81.156773,slower
sda-vs-original-avx2,Frodo,frodo640,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-avx2,sda-table-avx2,120.132000,102.013000,15.082576,faster
sda-vs-original-avx2,Frodo,frodo640,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-avx2,sda-table-avx2,25.477000,24.867000,2.394316,faster
sda-vs-original-avx2,Frodo,frodo976,end-to-end,1,original-cdt,sda-cdt,original-cdt-avx2,sda-cdt-avx2,81.164000,95.707000,-17.918042,slower
sda-vs-original-avx2,Frodo,frodo976,end-to-end,8,original-cdt,sda-cdt,original-cdt-avx2,sda-cdt-avx2,44.293000,62.948000,-42.117265,slower
sda-vs-original-avx2,Frodo,frodo976,lookup-only,1,original-cdt,sda-table-lookup,original-cdt-avx2,sda-table-avx2,115.167000,124.577000,-8.170743,slower
sda-vs-original-avx2,Frodo,frodo976,lookup-only,8,original-cdt,sda-table-lookup,original-cdt-avx2,sda-table-avx2,30.262000,23.800000,21.353513,faster
